Language,Implementation,N,Run,Time (s),Memory (KB),solutions,nodes_visited,backtracks,pruned_paths,explored_placements
C++,Bitboard,9,9,0.010156719999940833,89364,352,8394,,63985,8393
C++,Bitboard,9,10,0.008665446000122756,89364,352,8394,,63985,8393
C++,Bitboard,10,1,0.015060959000038565,89364,724,35539,,312612,35538
C++,Bitboard,10,2,0.009997940000175731,89364,724,35539,,312612,35538
C++,Bitboard,10,3,0.008172371999989991,89364,724,35539,,312612,35538
C++,Bitboard,10,4,0.01004904000001261,89364,724,35539,,312612,35538
C++,Bitboard,10,5,0.009220576999723562,89364,724,35539,,312612,35538
C++,Bitboard,10,6,0.008464630000162288,89364,724,35539,,312612,35538
C++,Bitboard,10,7,0.01016219800021645,89364,724,35539,,312612,35538
C++,Bitboard,10,8,0.008210125000005064,89364,724,35539,,312612,35538
C++,Bitboard,10,9,0.010596004000035464,89364,724,35539,,312612,35538
C++,Bitboard,10,10,0.00799845199981064,89364,724,35539,,312612,35538
C++,Bitboard,11,1,0.011367190999862942,89364,2680,166926,,1639781,166925
C++,Bitboard,11,2,0.010499280999738403,89364,2680,166926,,1639781,166925
C++,Bitboard,11,3,0.009331742000085796,89364,2680,166926,,1639781,166925
C++,Bitboard,11,4,0.011869925999690167,89364,2680,166926,,1639781,166925
C++,Bitboard,11,5,0.010011886000029335,89364,2680,166926,,1639781,166925
C++,Bitboard,11,6,0.009574693000104162,89364,2680,166926,,1639781,166925
C++,Bitboard,11,7,0.011361013999703573,89364,2680,166926,,1639781,166925
C++,Bitboard,11,8,0.009813061999921047,89364,2680,166926,,1639781,166925
C++,Bitboard,11,9,0.01070378200029154,89364,2680,166926,,1639781,166925
C++,Bitboard,11,10,0.010597199000130786,89364,2680,166926,,1639781,166925
C++,Bitboard,12,1,0.017095810000228084,89364,14200,856189,,9247680,856188
C++,Bitboard,12,2,0.01751248200025657,89364,14200,856189,,9247680,856188
C++,Bitboard,12,3,0.01731834100019114,89364,14200,856189,,9247680,856188
C++,Bitboard,12,4,0.017536587999984476,89364,14200,856189,,9247680,856188
C++,Bitboard,12,5,0.01824621500009016,89364,14200,856189,,9247680,856188
C++,Bitboard,12,6,0.0189257600000019,89364,14200,856189,,9247680,856188
C++,Bitboard,12,7,0.02089695999984542,89364,14200,856189,,9247680,856188
C++,Bitboard,12,8,0.021036713999819767,89364,14200,856189,,9247680,856188
C++,Bitboard,12,9,0.01812897299987526,89364,14200,856189,,9247680,856188
C++,Bitboard,12,10,0.01802079600020079,89364,14200,856189,,9247680,856188
C++,Bitboard,13,1,0.06108679099997971,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,2,0.05917864000002737,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,3,0.057025837000310275,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,4,0.057906760000150825,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,5,0.05682632399975773,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,6,0.05481944499979363,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,7,0.05502592900029413,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,8,0.05520233300012478,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,9,0.05538561000003028,89364,73712,4674890,,55140425,4674889
C++,Bitboard,13,10,0.05593613699966227,89364,73712,4674890,,55140425,4674889
C++,Bitboard,14,1,0.28420313800006625,89364,365596,27358553,,350542846,27358552
C++,Bitboard,14,2,0.28309872099998756,89364,365596,27358553,,350542846,27358552
C++,Bitboard,14,3,0.2835428299999876,89364,365596,27358553,,350542846,27358552
C++,Bitboard,14,4,0.28986085900032776,89364,365596,27358553,,350542846,27358552
C++,Bitboard,14,5,0.2871305950002352,89364,365596,27358553,,350542846,27358552
C++,Bitboard,14,6,0.2995840599996882,89364,365596,27358553,,350542846,27358552
C++,Bitboard,14,7,0.28346134399998846,89364,365596,27358553,,350542846,27358552
C++,Bitboard,14,8,0.3215628159996413,89364,365596,27358553,,350542846,27358552
